,loss,N,device,mean[ms],var[ms]
24,sigmoid_pairwise_loss,124224.13793103448,cuda,1.517723560333252,8.245524441008456e-08
25,sigmoid_pairwise_diff_hess,124224.13793103448,cuda,1.0688550472259521,1.009471122870309e-05
26,sigmoid_pairwise_loss_auc,124224.13793103448,cuda,0.7776382764180502,3.915732173077736e-08
27,sigmoid_pairwise_loss_auc_exact,124224.13793103448,cuda,0.9026447931925455,2.4507518004510425e-05
28,sigmoid_pairwise_diff_hess_auc,124224.13793103448,cuda,0.5434967676798502,5.6893593157130645e-06
29,sigmoid_pairwise_diff_hess_auc_exact,124224.13793103448,cuda,0.5907479921976725,2.1651275624713485e-06
30,sigmoid_pairwise_loss,155255.1724137931,cuda,1.9380248387654622,8.530087648574003e-09
31,sigmoid_pairwise_diff_hess,155255.1724137931,cuda,1.7240528265635173,8.22609461516145e-06
32,sigmoid_pairwise_loss_auc,155255.1724137931,cuda,1.118759314219157,5.557824857128759e-08
33,sigmoid_pairwise_loss_auc_exact,155255.1724137931,cuda,1.3198888301849365,8.100813867410276e-06
34,sigmoid_pairwise_diff_hess_auc,155255.1724137931,cuda,0.8869954744974772,5.678485889701632e-06
35,sigmoid_pairwise_diff_hess_auc_exact,155255.1724137931,cuda,0.9715246359507242,9.286151389965706e-06
36,sigmoid_pairwise_loss,186286.2068965517,cuda,2.481884797414144,1.8612063791402353e-08
37,sigmoid_pairwise_diff_hess,186286.2068965517,cuda,2.4974531332651773,6.914965131778041e-05
38,sigmoid_pairwise_loss_auc,186286.2068965517,cuda,1.483315388361613,8.80841231618332e-06
39,sigmoid_pairwise_loss_auc_exact,186286.2068965517,cuda,1.7805938720703125,5.479736766271041e-06
40,sigmoid_pairwise_diff_hess_auc,186286.2068965517,cuda,1.2999190489451091,7.76299162276296e-06
41,sigmoid_pairwise_diff_hess_auc_exact,186286.2068965517,cuda,1.4337960879007976,1.2553449980461868e-05
42,sigmoid_pairwise_loss,217317.24137931035,cuda,3.113709052403768,2.636876135713667e-07
43,sigmoid_pairwise_diff_hess,217317.24137931035,cuda,3.4671212832132974,1.3162947854854996e-05
44,sigmoid_pairwise_loss_auc,217317.24137931035,cuda,1.9041855335235596,4.058355898450827e-06
45,sigmoid_pairwise_loss_auc_exact,217317.24137931035,cuda,2.3149832089742026,5.562837650864418e-06
46,sigmoid_pairwise_diff_hess_auc,217317.24137931035,cuda,1.8260096708933513,3.224170553848025e-06
47,sigmoid_pairwise_diff_hess_auc_exact,217317.24137931035,cuda,1.991167942682902,1.323443535107395e-06
48,sigmoid_pairwise_loss,248348.27586206896,cuda,3.785834312438965,7.248267290075698e-08
49,sigmoid_pairwise_diff_hess,248348.27586206896,cuda,4.563190301259358,0.0001051181730468266
50,sigmoid_pairwise_loss_auc,248348.27586206896,cuda,2.3498425483703613,9.193717005473445e-07
51,sigmoid_pairwise_loss_auc_exact,248348.27586206896,cuda,2.9270548025767007,1.4978157663689571e-05
52,sigmoid_pairwise_diff_hess_auc,248348.27586206896,cuda,2.4104275703430176,3.8260360762857694e-05
53,sigmoid_pairwise_diff_hess_auc_exact,248348.27586206896,cuda,2.579747517903646,3.392520497729694e-05
54,sigmoid_pairwise_loss,279379.3103448276,cuda,4.532574097315471,7.977667350031778e-06
55,sigmoid_pairwise_diff_hess,279379.3103448276,cuda,5.712927579879761,0.00018738549560263587
56,sigmoid_pairwise_loss_auc,279379.3103448276,cuda,2.8631790479024253,1.1756018706263501e-05
57,sigmoid_pairwise_loss_auc_exact,279379.3103448276,cuda,3.6313065687815347,4.142946963586131e-05
58,sigmoid_pairwise_diff_hess_auc,279379.3103448276,cuda,3.06483523050944,6.968139482271201e-05
59,sigmoid_pairwise_diff_hess_auc_exact,279379.3103448276,cuda,3.271841367085775,1.8327623908791993e-05
60,sigmoid_pairwise_loss,310410.3448275862,cuda,5.351705710093181,1.1468582076506411e-05
61,sigmoid_pairwise_diff_hess,310410.3448275862,cuda,7.1159876982371015,0.00013572007076668847
62,sigmoid_pairwise_loss_auc,310410.3448275862,cuda,3.4276796181996665,9.360301204550424e-06
63,sigmoid_pairwise_loss_auc_exact,310410.3448275862,cuda,4.387331644694011,1.7194241852141407e-05
64,sigmoid_pairwise_diff_hess_auc,310410.3448275862,cuda,3.79461932182312,0.000944539249568758
65,sigmoid_pairwise_diff_hess_auc_exact,310410.3448275862,cuda,4.123674154281616,7.171956553975178e-06
66,sigmoid_pairwise_loss,341441.3793103448,cuda,6.070424556732178,9.180171332445752e-06
67,sigmoid_pairwise_diff_hess,341441.3793103448,cuda,8.56060759226481,0.000864920587004134
68,sigmoid_pairwise_loss_auc,341441.3793103448,cuda,4.04924750328064,1.2675193071724303e-05
69,sigmoid_pairwise_loss_auc_exact,341441.3793103448,cuda,5.1921374797821045,3.71002109886831e-05
70,sigmoid_pairwise_diff_hess_auc,341441.3793103448,cuda,4.4635530312856035,2.4279648502872282e-05
71,sigmoid_pairwise_diff_hess_auc_exact,341441.3793103448,cuda,4.83123779296875,6.835733859134052e-05
72,sigmoid_pairwise_loss,372472.4137931034,cuda,7.071825901667277,3.048907931062988e-08
73,sigmoid_pairwise_diff_hess,372472.4137931034,cuda,10.075320561726889,0.001932685735381609
74,sigmoid_pairwise_loss_auc,372472.4137931034,cuda,4.752408504486084,6.804687510945466e-06
75,sigmoid_pairwise_loss_auc_exact,372472.4137931034,cuda,6.119474172592163,9.54918513116354e-05
76,sigmoid_pairwise_diff_hess_auc,372472.4137931034,cuda,5.2931482791900635,0.000423466258780536
77,sigmoid_pairwise_diff_hess_auc_exact,372472.4137931034,cuda,5.746833483378093,9.621508685439848e-05
78,sigmoid_pairwise_loss,403503.448275862,cuda,8.176434675852457,7.238546017005218e-06
79,sigmoid_pairwise_diff_hess,403503.448275862,cuda,12.205287853876749,0.0011176289878499625
80,sigmoid_pairwise_loss_auc,403503.448275862,cuda,5.490700642267863,8.831107505910848e-06
81,sigmoid_pairwise_loss_auc_exact,403503.448275862,cuda,7.104383150736491,0.0008829835818965471
82,sigmoid_pairwise_diff_hess_auc,403503.448275862,cuda,6.341211239496867,0.000323317705212705
83,sigmoid_pairwise_diff_hess_auc_exact,403503.448275862,cuda,6.837313969930013,0.0009889779393511668
84,sigmoid_pairwise_loss,434534.4827586207,cuda,9.344521840413412,2.2771058765000712e-06
85,sigmoid_pairwise_diff_hess,434534.4827586207,cuda,14.242090940475464,0.03157978095634917
86,sigmoid_pairwise_loss_auc,434534.4827586207,cuda,6.291491985321045,4.065286657350953e-05
87,sigmoid_pairwise_loss_auc_exact,434534.4827586207,cuda,8.202072540918985,0.00019285298959756703
88,sigmoid_pairwise_diff_hess_auc,434534.4827586207,cuda,7.547115166982015,0.0011206381158722757
89,sigmoid_pairwise_diff_hess_auc_exact,434534.4827586207,cuda,8.035954793294271,0.0005880412994403943
90,sigmoid_pairwise_loss,465565.5172413793,cuda,10.620927651723227,5.145789916443592e-06
91,sigmoid_pairwise_diff_hess,465565.5172413793,cuda,16.217358509699505,0.005509161663414691
